course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BARCH,5,2020-21,NAR507,history of architecture 4,https://www.aktuonline.com/papers/barch-5-sem-history-of-architecture-4-nar507-2021.html,https://www.aktuonline.com/papers/barch-5-sem-history-of-architecture-4-nar507-2021.pdf,,corpus/aktuonline3/barch-5-sem-history-of-architecture-4-nar507-2021.pdf,OK,2026-09-20T15:43:33+00:00
BARCH,6,2006-07,AR601,architectural design 6,https://www.aktuonline.com/papers/barch-6-sem-architectural-design-6-ar-601-2007.html,https://www.aktuonline.com/papers/barch-6-sem-architectural-design-6-ar-601-2007.pdf,,corpus/aktuonline3/barch-6-sem-architectural-design-6-ar-601-2007.pdf,OK,2026-09-20T15:43:37+00:00
BARCH,6,2017-18,NAR406,architectural service 3,https://www.aktuonline.com/papers/barch-6-sem-architectural-service-3-nar406-2018.html,https://www.aktuonline.com/papers/barch-6-sem-architectural-service-3-nar406-2018.pdf,,corpus/aktuonline3/barch-6-sem-architectural-service-3-nar406-2018.pdf,OK,2026-09-20T15:43:40+00:00
BARCH,6,2006-07,AR603,architectural structures 6,https://www.aktuonline.com/papers/barch-6-sem-architectural-structures-6-ar-603-2007.html,https://www.aktuonline.com/papers/barch-6-sem-architectural-structures-6-ar-603-2007.pdf,,corpus/aktuonline3/barch-6-sem-architectural-structures-6-ar-603-2007.pdf,OK,2026-09-20T15:43:43+00:00
BARCH,6,2018-19,RAR603,architectural structures 6,https://www.aktuonline.com/papers/barch-6-sem-architectural-structures-6-rar603-2019.html,https://www.aktuonline.com/papers/barch-6-sem-architectural-structures-6-rar603-2019.pdf,,corpus/aktuonline3/barch-6-sem-architectural-structures-6-rar603-2019.pdf,OK,2026-09-20T15:43:46+00:00
BARCH,6,2006-07,AR606,building services,https://www.aktuonline.com/papers/barch-6-sem-building-services-ar-606-2007.html,https://www.aktuonline.com/papers/barch-6-sem-building-services-ar-606-2007.pdf,,corpus/aktuonline3/barch-6-sem-building-services-ar-606-2007.pdf,OK,2026-09-20T15:43:49+00:00
BARCH,6,2014-15,AR606,building services,https://www.aktuonline.com/papers/barch-6-sem-building-services-ar606-2015.html,https://www.aktuonline.com/papers/barch-6-sem-building-services-ar606-2015.pdf,,corpus/aktuonline3/barch-6-sem-building-services-ar606-2015.pdf,OK,2026-09-20T15:43:52+00:00
BARCH,6,2006-07,AR602,construction and material 6,https://www.aktuonline.com/papers/barch-6-sem-construction-and-material-6-ar-602-2007.html,https://www.aktuonline.com/papers/barch-6-sem-construction-and-material-6-ar-602-2007.pdf,,corpus/aktuonline3/barch-6-sem-construction-and-material-6-ar-602-2007.pdf,OK,2026-09-20T15:43:55+00:00
BARCH,6,2014-15,AR602,construction and materials 6,https://www.aktuonline.com/papers/barch-6-sem-construction-and-materials-6-ar602-2015.html,https://www.aktuonline.com/papers/barch-6-sem-construction-and-materials-6-ar602-2015.pdf,,corpus/aktuonline3/barch-6-sem-construction-and-materials-6-ar602-2015.pdf,OK,2026-09-20T15:43:59+00:00
BARCH,6,2017-18,NAR407,history of architecture 3,https://www.aktuonline.com/papers/barch-6-sem-history-of-architecture-3-nar407-2018.html,https://www.aktuonline.com/papers/barch-6-sem-history-of-architecture-3-nar407-2018.pdf,,corpus/aktuonline3/barch-6-sem-history-of-architecture-3-nar407-2018.pdf,OK,2026-09-20T15:44:02+00:00
